fec_id,state,district,incumbent,candidate_name,party,primary_votes,runoff_votes,general_votes,ge_winner
B2CA08156,CA,08,FALSE,"Mitzelfelt, Brad",R,8801,0,0,
H0AK00097,AK,00,FALSE,"Cox, John R.",R,11179,0,0,
H0AL01030,AL,01,FALSE,"Gounares, Peter",R,3854,0,0,
H0AL02087,AL,02,TRUE,"Roby, Martha",R,0,0,180591,W
H0AL05163,AL,05,TRUE,"Brooks, Mo",R,65163,0,189185,W
H0AL07086,AL,07,TRUE,"Sewell, Terri A.",D,0,0,232520,W
H0AL07177,AL,07,FALSE,"Chamberlain, Don",R,11537,0,73835,N
H0AR01083,AR,01,TRUE,"Crawford, Rick ",R,0,0,138800,W
H0AR02107,AR,02,TRUE,"Griffin, Tim ",R,0,0,158175,W
H0AR03055,AR,03,TRUE,"Womack, Steve",R,0,0,186467,W
H0AR04079,AR,04,FALSE,"Rankin, Beth Anne",R,13460,0,0,N
H0AS00018,AS,00,TRUE,"Faleomavaega, Eni F.H.",D,0,0,7221,W
H0AZ01259,AZ,04,TRUE,"Gosar, Raul",R,40033,0,162907,W
H0AZ03248,AZ,08,FALSE,"Scharer, Gene",D,24510,0,95635,N
H0AZ03321,AZ,09,FALSE,"Parker, Vernon B.",R,11184,0,111630,N
H0AZ03362,AZ,06,TRUE,"Quayle, Ben",R,39414,0,0,N
H0AZ08056,AZ,01,FALSE,"Paton, Jonathan",R,28644,0,113594,N
H0CA00074,CA,47,FALSE,"Shah, Jay",D,2273,0,0,N
H0CA00090,CA,03,FALSE,"Ray, Eugene ",R,2438,0,0,N
H0CA02120,CA,01,FALSE,"Stiglich, Pete",R,10258,0,0,N
H0CA02138,CA,01,FALSE,"Reed, Jim",D,43409,0,125386,N
H0CA03078,CA,07,FALSE,"Bera, Ami ",D,49433,0,141241,W
H0CA05073,CA,06,FALSE,"Smitt, Erik",R,11254,0,0,N
H0CA06121,CA,02,FALSE,"Roberts, Daniel W.",R,25635,0,91310,N
H0CA07103,CA,03,FALSE,"Tubbs, Rick ",R,17902,0,0,N
H0CA07111,CA,11,FALSE,"Fitzgerald, John ",D,9092,0,0,N
H0CA08069,CA,12,FALSE,"Dennis, John ",R,16206,0,44478,N
H0CA08077,CA,12,FALSE,"Shields, Summer Justice",D,2146,0,0,N
H0CA10149,CA,03,TRUE,"Garamendi, John ",D,59546,0,126882,W
H0CA10172,CA,12,FALSE,"Peterson, David ",D,3756,0,0,N
H0CA13093,CA,13,FALSE,"Jelincic, Justin",D,5741,0,0,N
H0CA13119,CA,15,FALSE,"Pareja, Christopher ""Chris"" J.",N,20618,0,0,N
H0CA14075,CA,18,FALSE,"Chapman, Dave ",R,42174,0,89103,N
H0CA15148,CA,17,TRUE,"Honda, Mike ",D,60252,0,159392,W
H0CA17151,CA,20,FALSE,"Petersen, Eric",G,2211,0,0,N
H0CA17185,CA,20,FALSE,"Kabat, Ronald Paul",N,1733,0,0,N
H0CA19082,CA,21,FALSE,"Hernandez, John ",D,10575,0,49119,N
H0CA19132,CA,16,FALSE,"Goodwin, Loraine ",D,5703,0,0,N
H0CA19173,CA,10,TRUE,"Denham, Jeff",R,45779,0,110265,W
H0CA23068,CA,26,FALSE,"Goldberg, Albert Maxwell",D,1880,0,0,N
H0CA26087,CA,32,FALSE,"Miller, David L.",R,21843,0,65208,N
H0CA27085,CA,28,TRUE,"Schiff, Adam",D,42797,0,188703,W
H0CA27101,CA,30,FALSE,"Reed, Mark ",R,11991,0,0,N
H0CA28109,CA,28,FALSE,"Worman, Jenny ",R,5978,0,0,N
H0CA28117,CA,29,FALSE,"Valdez, Richard A.",D,5379,0,0,N
H0CA32101,CA,27,TRUE,"Chu, Judy ",D,50203,0,154191,W
H0CA33117,CA,37,TRUE,"Bass, Karen R.",D,54345,0,207039,W
H0CA33133,CA,28,FALSE,"Jennerjahn, Phil ",R,12633,0,58008,N
H0CA34099,CA,40,FALSE,"Sanchez, David ",D,8777,0,51613,N
H0CA42175,CA,08,FALSE,"Liberatore, Phil",R,12277,0,0,N
H0CA45061,CA,42,FALSE,"Thibodeau, Clayton",R,6374,0,0,N
H0CA48024,CA,49,TRUE,"Issa, Darrell",R,71329,0,159725,W
H0CA49055,CA,53,TRUE,"Davis, Susan A.",D,70462,0,164825,W
H0CA51036,CA,53,FALSE,"Popaditch, Nick ",R,51423,0,103482,N
H0CA52018,CA,50,FALSE,"Benoit, Michael",L,6160,0,0,N
H0CA52034,CA,50,FALSE,"Linnell, Terri",R,3275,0,0,N
H0CO03116,CO,03,FALSE,"Gilman, Gregory",L,166,0,8212,N
H0CO04122,CO,04,TRUE,"Gardner, Cory",R,49340,0,200006,W
H0CO04148,CO,04,FALSE,"Aden, Doug",A,118,0,5848,N
H0CO07075,CO,07,FALSE,"Bailey, Buck",L,0,0,9148,N
H0CT02140,CT,02,FALSE,"Novak, Daria",R,7050,0,0,N
H0CT02165,CT,02,FALSE,"Dubitsky, Doug",R,0,0,0,N
H0CT03072,CT,03,TRUE,"DeLauro, Rosa L.",W,0,0,217573,W
H0CT05119,CT,05,FALSE,"Bernier, Justin",R,6167,0,0,N
H0CT05127,CT,05,FALSE,"Pistone, John",W,0,0,12,N
H0CT05150,CT,05,FALSE,"Greenberg, Mark",R,8033,0,0,N
H0DC00058,DC,00,TRUE,"Norton, Eleanor H.",D,52881,0,246664,W
H0DE01017,DE,00,TRUE,"Carney, John C., Jr.",D,0,0,249933,W
H0DE01025,DE,00,FALSE,"Izzo, Rose",R,7888,0,0,N
H0FL02086,FL,02,FALSE,"Lawson, Al",D,46900,0,157634,N
H0FL02110,FL,02,TRUE,"Southerland, Steve",R,0,0,175856,W
H0FL04033,FL,04,FALSE,"Pueschel, Deborah Katz",R,6505,0,0,N
H0FL04066,FL,04,TRUE,"Crenshaw, Ander",R,46788,0,239988,W
H0FL04116,FL,04,FALSE,"Koniz, Gary ",W,0,0,246,N
H0FL05139,FL,11,TRUE,"Nugent, Richard B. ""Rich""",R,0,0,218360,W
H0FL07077,FL,06,FALSE,"Beaven, Heather ",D,29909,0,146489,N
H0FL08208,FL,10,TRUE,"Webster, Daniel ",R,0,0,164649,W
H0FL12101,FL,15,TRUE,"Ross, Dennis",R,0,0,0,W
H0FL14065,FL,19,FALSE,"Roach, Jim ",D,0,0,109746,N
H0FL15054,FL,08,FALSE,"Roberts, Shannon ",D,0,0,130870,N
H0FL16052,FL,18,FALSE,"Horn, Jim",D,3843,0,0,N
